date,description,category,type,amount
2025-06-06,Beli mainan anak di Gramedia,Shopping,expense,1371295
2025-04-27,Hadiah ulang tahun untuk teman,Gift & Donation,expense,902400
2025-05-14,Sarapan di Warung Nasi Uduk,Food & Dining,expense,68213
2025-05-22,Beli laptop di Tokopedia,Shopping,expense,2460356
2024-11-04,Bayar tagihan listrik,Bills & Utilities,expense,1381478
2025-01-15,Bayar air PAM,Bills & Utilities,expense,382388
2024-11-08,Bayar tol Cikampek,Transportation,expense,114216
2025-03-17,Tes darah di klinik,Health & Medical,expense,829475
2025-02-23,Beli kopi di Janji Jiwa,Food & Dining,expense,247478
2025-04-06,Bunga deposito bank,Other Income,income,422674
2025-04-27,Langganan Netflix Premium,Entertainment,expense,386584
2024-11-19,Langganan Netflix Premium,Entertainment,expense,410566
2025-10-01,Bayar tagihan listrik,Bills & Utilities,expense,675553
2025-02-20,Langganan Skillshare,Education,expense,1587645
2024-11-15,Gaji bulanan dari perusahaan,Salary,income,13192038
2025-10-18,Potongan layanan e-wallet,Other Expense,expense,456987
2024-10-23,Konsultasi dokter gigi,Health & Medical,expense,1549905
2025-08-13,Beli obat flu di apotek,Health & Medical,expense,700694
2024-12-28,Beli tiket bioskop XXI,Entertainment,expense,990495
2025-03-04,Cashback ShopeePay,Other Income,income,229189
2025-02-15,Gaji bulanan dari perusahaan,Salary,income,7696968
2025-07-09,Bayar SPP anak,Education,expense,2698805
2024-12-28,Hadiah ulang tahun untuk teman,Gift & Donation,expense,309139
2025-07-03,Makan malam di Solaria,Food & Dining,expense,208477
2025-05-17,Bunga deposito bank,Other Income,income,474251
2025-01-13,Sumbangan ke yayasan yatim,Gift & Donation,expense,370057
2025-09-11,Tes darah di klinik,Health & Medical,expense,786902
2025-01-09,Langganan Netflix Premium,Entertainment,expense,971217
2025-01-31,Komisi reseller,Business,income,9319483
2025-08-31,Bayar SPP anak,Education,expense,4293616
2025-04-15,Langganan internet Biznet,Bills & Utilities,expense,1438297
2025-04-10,Bayar tagihan listrik,Bills & Utilities,expense,1061184
2025-09-21,Les privat matematika,Education,expense,2882462
2025-09-09,Denda keterlambatan kartu kredit,Other Expense,expense,279828
2025-05-13,Beli bunga untuk ibu,Gift & Donation,expense,787646
2025-02-25,Beli tiket bioskop XXI,Entertainment,expense,447423
2025-03-12,Sarapan di Warung Nasi Uduk,Food & Dining,expense,225128
2025-08-03,Pemasukan dari usaha laundry,Business,income,4021726
2025-03-10,Penarikan tunai ATM,Other Expense,expense,176749
2025-04-16,Denda keterlambatan kartu kredit,Other Expense,expense,347007
2025-06-02,Belanja baju di Zara,Shopping,expense,2077668
2025-06-11,Beli sepatu di Shopee,Shopping,expense,4313672
2025-01-13,Bonus proyek akhir tahun,Salary,income,19267720
2025-08-16,Bayar tagihan listrik,Bills & Utilities,expense,638783
2025-05-29,Beli skincare di Watsons,Shopping,expense,3910970
2024-11-06,Naik taksi Blue Bird,Transportation,expense,18718
2025-05-10,Ngopi bareng teman di KFC,Food & Dining,expense,68932
2025-02-17,Penjualan barang bekas,Other Income,income,94467
2025-06-26,Beli vitamin C di Guardian,Health & Medical,expense,723920
2024-10-27,Sarapan di Warung Nasi Uduk,Food & Dining,expense,187824
2025-06-12,Isi bensin Pertalite,Transportation,expense,99885
2025-02-11,Top up pulsa XL,Bills & Utilities,expense,1144524
2025-07-18,Bayar SPP anak,Education,expense,808257
2025-09-12,Refund tiket pesawat,Other Income,income,254063
2025-01-03,Nonton konser K-pop,Entertainment,expense,324137
2025-05-08,Beli tiket bioskop XXI,Entertainment,expense,33387
2025-07-21,Biaya transfer antar bank,Other Expense,expense,452456
2024-12-16,Langganan internet Biznet,Bills & Utilities,expense,146177
2025-04-16,Sumbangan ke yayasan yatim,Gift & Donation,expense,678503
2024-11-01,Beli laptop di Tokopedia,Shopping,expense,302954
2024-12-26,Beli skincare di Watsons,Shopping,expense,1644968
2025-05-14,Komisi reseller,Business,income,7145409
2024-12-16,Les privat matematika,Education,expense,4116625
2025-06-28,Penarikan tunai ATM,Other Expense,expense,247725
2025-03-06,Komisi tambahan,Salary,income,11840625
2025-05-09,Langganan Netflix Premium,Entertainment,expense,546740
2025-04-01,Cashback ShopeePay,Other Income,income,119300
2025-02-12,Potongan layanan e-wallet,Other Expense,expense,368290
2024-12-24,Bayar kursus Python online,Education,expense,4833006
2024-12-28,Sumbangan ke yayasan yatim,Gift & Donation,expense,407696
2024-11-19,Naik Transjakarta,Transportation,expense,225245
2025-07-13,Cek kesehatan rutin,Health & Medical,expense,1308951
2025-08-25,Biaya transfer antar bank,Other Expense,expense,60449
2025-01-09,Beli obat flu di apotek,Health & Medical,expense,1004685
2025-08-20,Konsultasi dokter gigi,Health & Medical,expense,1810274
2025-06-27,Zakat bulanan,Gift & Donation,expense,388448
2025-10-05,Penjualan barang bekas,Other Income,income,56971
2024-11-30,Biaya transfer antar bank,Other Expense,expense,423157
2025-07-15,Komisi reseller,Business,income,551653
2024-11-02,Tunjangan makan bulanan,Salary,income,6382609
2025-06-13,Konsultasi dokter gigi,Health & Medical,expense,758277
2025-06-09,Beli vitamin C di Guardian,Health & Medical,expense,1240929
2025-02-12,Top up pulsa XL,Bills & Utilities,expense,1394177
2025-06-25,Cashback ShopeePay,Other Income,income,416223
2024-11-04,Bayar kursus Python online,Education,expense,2370211
2025-02-07,Pembayaran dari klien,Business,income,1755298
2025-09-16,Langganan Disney+,Entertainment,expense,562232
2025-06-11,Nonton konser K-pop,Entertainment,expense,648516
2025-08-25,Tunjangan makan bulanan,Salary,income,11914228
2025-01-25,Beli game di Steam,Entertainment,expense,516153
2025-09-17,Langganan Disney+,Entertainment,expense,303589
2025-07-15,Cek kesehatan rutin,Health & Medical,expense,1561189
2025-08-30,Donasi ke gereja,Gift & Donation,expense,77733
2025-01-20,Bayar air PAM,Bills & Utilities,expense,1510741
2025-10-06,Bayar tagihan listrik,Bills & Utilities,expense,1442310
2024-12-30,Komisi reseller,Business,income,4261306
2025-09-30,Komisi reseller,Business,income,9688550
2025-01-07,Penarikan tunai ATM,Other Expense,expense,307583
2025-08-22,Gaji bulanan dari perusahaan,Salary,income,12408861
2025-10-19,Pendapatan tambahan kecil,Other Income,income,155237
2025-04-28,Biaya admin bank,Other Expense,expense,82531
2025-03-13,Naik taksi Blue Bird,Transportation,expense,112092
2025-03-02,Penjualan produk handmade,Business,income,1561964
2024-12-09,Tes darah di klinik,Health & Medical,expense,484254
2025-02-27,Potongan layanan e-wallet,Other Expense,expense,143971
2025-07-10,Zakat bulanan,Gift & Donation,expense,381370
2025-05-01,Biaya transfer antar bank,Other Expense,expense,184501
2024-10-26,Cashback ShopeePay,Other Income,income,363753
2025-06-03,Penarikan tunai ATM,Other Expense,expense,131877
2025-06-22,Bayar iuran RT,Bills & Utilities,expense,530192
2025-04-02,Gaji bulanan dari perusahaan,Salary,income,8237687
2025-03-03,Beli kopi di Janji Jiwa,Food & Dining,expense,114868
2025-01-17,Beli game di Steam,Entertainment,expense,210059
2025-02-18,Pendapatan tambahan kecil,Other Income,income,430717
2025-09-03,Nonton konser K-pop,Entertainment,expense,802166
2024-12-10,Denda keterlambatan kartu kredit,Other Expense,expense,387968
2024-12-06,Zakat bulanan,Gift & Donation,expense,701080
2025-06-07,Naik taksi Blue Bird,Transportation,expense,68460
2024-12-18,Biaya admin bank,Other Expense,expense,267632
2025-01-29,Beli vitamin C di Guardian,Health & Medical,expense,1321909
2025-02-07,Cashback ShopeePay,Other Income,income,402016
2025-07-18,Pendapatan tambahan kecil,Other Income,income,140120
2025-08-10,Langganan internet Biznet,Bills & Utilities,expense,413886
2025-02-12,Sumbangan ke yayasan yatim,Gift & Donation,expense,822069
2025-08-21,Naik taksi Blue Bird,Transportation,expense,95224
2025-07-11,Biaya transfer antar bank,Other Expense,expense,319888
2025-06-12,Langganan Netflix Premium,Entertainment,expense,154141
2025-04-12,Penjualan produk handmade,Business,income,5795621
2025-01-22,Naik Transjakarta,Transportation,expense,179737
2024-11-16,Pendapatan toko online,Business,income,4743693
2025-08-04,Bonus proyek akhir tahun,Salary,income,15854129
2025-07-24,Sarapan di Warung Nasi Uduk,Food & Dining,expense,203372
2025-08-24,Langganan Skillshare,Education,expense,4132011
2025-01-25,Pendapatan tambahan kecil,Other Income,income,175513
2025-04-13,Biaya admin bank,Other Expense,expense,140632
2024-11-10,Beli bunga untuk ibu,Gift & Donation,expense,941015
2025-02-15,Bayar tol Cikampek,Transportation,expense,30579
2024-12-01,Beli tiket bioskop XXI,Entertainment,expense,652884
2025-03-27,Beli sepatu di Shopee,Shopping,expense,3928341
2025-03-20,Beli obat flu di apotek,Health & Medical,expense,755800
2024-12-19,Pemasukan dari usaha laundry,Business,income,4133649
2025-10-13,Ngopi bareng teman di KFC,Food & Dining,expense,50331
2025-09-20,Sumbangan ke yayasan yatim,Gift & Donation,expense,999811
2025-07-23,Bonus proyek akhir tahun,Salary,income,11868461
2025-08-17,Zakat bulanan,Gift & Donation,expense,742081
2025-06-29,Langganan internet Biznet,Bills & Utilities,expense,1023321
2025-03-13,Top up pulsa XL,Bills & Utilities,expense,1376596
2025-07-22,Bayar iuran RT,Bills & Utilities,expense,1874872
2025-05-25,Pembayaran dari klien,Business,income,6002715
2025-07-27,Tes darah di klinik,Health & Medical,expense,868369
2025-09-30,Bayar air PAM,Bills & Utilities,expense,736370
2024-12-07,Beli game di Steam,Entertainment,expense,760740
2025-05-31,Ngopi bareng teman di KFC,Food & Dining,expense,227568
2025-10-03,Pendapatan tambahan kecil,Other Income,income,13940
2024-12-07,Beli tiket bioskop XXI,Entertainment,expense,586422
2025-06-20,Bayar tol Cikampek,Transportation,expense,139871
2025-04-04,Tes darah di klinik,Health & Medical,expense,1869528
2025-05-30,Cek kesehatan rutin,Health & Medical,expense,1210124
2025-01-24,Refund tiket pesawat,Other Income,income,420085
2025-01-01,Naik taksi Blue Bird,Transportation,expense,224065
2025-04-03,Pesan makanan lewat GrabFood,Food & Dining,expense,125438
2025-06-15,Penjualan produk handmade,Business,income,4589868
2024-11-27,Penjualan barang bekas,Other Income,income,125739
2025-05-02,Top up pulsa XL,Bills & Utilities,expense,925016
2025-06-26,Beli buku pelajaran,Education,expense,157403
2025-08-04,Ngopi bareng teman di KFC,Food & Dining,expense,62900
2025-03-12,Bayar iuran RT,Bills & Utilities,expense,1488370
2024-11-27,Pemasukan dari usaha laundry,Business,income,5036561
2025-05-23,Beli sepatu di Shopee,Shopping,expense,187763
2024-10-30,Zakat bulanan,Gift & Donation,expense,116482
2024-12-26,Langganan Disney+,Entertainment,expense,660721
2025-06-27,Makan malam di Solaria,Food & Dining,expense,53416
2025-09-18,Pendapatan tambahan kecil,Other Income,income,348776
2025-04-03,Penjualan produk handmade,Business,income,7248034
2025-08-09,Pemasukan dari usaha laundry,Business,income,7094663
2025-05-19,Komisi reseller,Business,income,7480186
2025-06-01,Pesan makanan lewat GrabFood,Food & Dining,expense,98752
2025-01-13,Sumbangan ke yayasan yatim,Gift & Donation,expense,950931
2025-02-15,Beli mainan anak di Gramedia,Shopping,expense,3850005
2025-06-03,Donasi ke gereja,Gift & Donation,expense,224601
2025-03-20,Bayar tagihan listrik,Bills & Utilities,expense,961602
2024-12-17,Parkir di kantor,Transportation,expense,128889
2025-05-18,Tunjangan makan bulanan,Salary,income,11096838
2025-06-12,Beli tiket bioskop XXI,Entertainment,expense,732666
2025-08-23,Top up pulsa XL,Bills & Utilities,expense,878015
2025-01-04,Beli sepatu di Shopee,Shopping,expense,2853501
2024-11-16,Biaya transfer antar bank,Other Expense,expense,458638
2025-03-31,Les privat matematika,Education,expense,2716361
2025-10-07,Langganan internet Biznet,Bills & Utilities,expense,1916804
2025-10-20,Beli tiket bioskop XXI,Entertainment,expense,644342
2025-10-06,Bayar tagihan listrik,Bills & Utilities,expense,1066963
2024-12-02,Bayar SPP anak,Education,expense,3037682
2025-01-13,Beli kopi di Janji Jiwa,Food & Dining,expense,272400
2024-10-31,Nonton konser K-pop,Entertainment,expense,703435
2025-08-02,Biaya admin bank,Other Expense,expense,225454
2025-04-04,Refund tiket pesawat,Other Income,income,227349
2024-12-06,Donasi ke gereja,Gift & Donation,expense,479664
2024-11-08,Beli buku pelajaran,Education,expense,2973732
2025-03-15,Pemasukan dari usaha laundry,Business,income,8109223
2025-04-21,Bayar air PAM,Bills & Utilities,expense,448795
2025-05-09,Belanja baju di Zara,Shopping,expense,1791060
2025-02-17,Pendapatan tambahan kecil,Other Income,income,175609
2025-09-27,Pemasukan dari usaha laundry,Business,income,2286778
2025-05-04,Pendapatan toko online,Business,income,2665622
2024-10-25,Komisi reseller,Business,income,8095100
2025-07-16,Pembayaran dari klien,Business,income,5760056
2025-08-03,Penjualan produk handmade,Business,income,4690744
2025-10-15,Tunjangan makan bulanan,Salary,income,7192134
2024-11-20,Parkir di kantor,Transportation,expense,210191
2025-09-15,Sumbangan ke yayasan yatim,Gift & Donation,expense,731912
2025-08-27,Refund tiket pesawat,Other Income,income,183378
2025-07-24,Les privat matematika,Education,expense,2356924
2025-02-21,Tes darah di klinik,Health & Medical,expense,731790
2025-10-12,Beli kopi di Janji Jiwa,Food & Dining,expense,81610
2025-01-25,Refund tiket pesawat,Other Income,income,389359
2025-08-20,Pendapatan toko online,Business,income,8486306
2025-04-27,Cek kesehatan rutin,Health & Medical,expense,808824
2025-04-28,Pendapatan dari freelance,Salary,income,10657934
2025-06-17,Pembayaran dari klien,Business,income,8763006
2024-10-27,Penarikan tunai ATM,Other Expense,expense,247383
2025-03-30,Cashback ShopeePay,Other Income,income,283078
2025-07-30,Cek kesehatan rutin,Health & Medical,expense,1862751
2025-07-20,Biaya admin bank,Other Expense,expense,171442
2025-03-30,Hadiah ulang tahun untuk teman,Gift & Donation,expense,123885
2025-05-12,Pembayaran dari klien,Business,income,8721008
2025-08-18,Bonus proyek akhir tahun,Salary,income,14193329
2024-11-09,Langganan Skillshare,Education,expense,1671089
2025-04-13,Tes darah di klinik,Health & Medical,expense,124869
2024-11-28,Tes darah di klinik,Health & Medical,expense,265515
2025-09-27,Pendapatan dari freelance,Salary,income,9048294
2025-04-08,Les privat matematika,Education,expense,1846855
2025-05-12,Gaji bulanan dari perusahaan,Salary,income,7835599
2025-03-09,Bayar iuran RT,Bills & Utilities,expense,1308357
2025-07-16,Pemasukan dari usaha laundry,Business,income,814238
2025-07-24,Beli obat flu di apotek,Health & Medical,expense,936106
2025-01-17,Beli game di Steam,Entertainment,expense,116012
2024-12-18,Ngopi bareng teman di KFC,Food & Dining,expense,27740
2025-09-24,Naik taksi Blue Bird,Transportation,expense,16048
2025-08-23,Langganan Netflix Premium,Entertainment,expense,406223
2025-08-10,Bunga deposito bank,Other Income,income,232492
2025-02-13,Naik taksi Blue Bird,Transportation,expense,190442
2025-03-09,Bonus proyek akhir tahun,Salary,income,12283489
2025-03-26,Beli skincare di Watsons,Shopping,expense,1323515
2025-06-17,Langganan Disney+,Entertainment,expense,772668
2025-05-24,Komisi reseller,Business,income,8968105
2025-10-12,Parkir di kantor,Transportation,expense,26797
2025-10-16,Pesan makanan lewat GrabFood,Food & Dining,expense,91302
2025-05-06,Konsultasi dokter gigi,Health & Medical,expense,780914
2025-10-09,Komisi tambahan,Salary,income,18525636
2024-12-01,Bunga deposito bank,Other Income,income,330956
2025-10-22,Bunga deposito bank,Other Income,income,390048
2025-06-27,Biaya admin bank,Other Expense,expense,334859
2025-10-10,Bayar iuran RT,Bills & Utilities,expense,723015
2025-07-26,Penjualan barang bekas,Other Income,income,386411
2025-01-18,Beli tiket bioskop XXI,Entertainment,expense,410430
2024-11-12,Tes darah di klinik,Health & Medical,expense,963096
2025-06-22,Beli sepatu di Shopee,Shopping,expense,666679
2025-03-07,Bayar tagihan listrik,Bills & Utilities,expense,1858543
2025-08-13,Komisi reseller,Business,income,1170560
2025-06-23,Langganan Netflix Premium,Entertainment,expense,44798
2025-03-08,Penjualan barang bekas,Other Income,income,44674
2025-05-12,Penjualan barang bekas,Other Income,income,436463
2025-08-25,Gaji bulanan dari perusahaan,Salary,income,10086230
2024-11-17,Bayar kursus Python online,Education,expense,4608954
2025-02-05,Gaji bulanan dari perusahaan,Salary,income,6286125
2025-09-18,Ngopi bareng teman di KFC,Food & Dining,expense,214013
2025-08-12,Bayar tol Cikampek,Transportation,expense,141664
2025-06-16,Parkir di kantor,Transportation,expense,144819
2025-10-08,Penjualan produk handmade,Business,income,6720317
2025-08-30,Cek kesehatan rutin,Health & Medical,expense,1575005
2025-01-21,Les privat matematika,Education,expense,3268684
2025-01-01,Komisi reseller,Business,income,9449561
2025-06-24,Bayar tol Cikampek,Transportation,expense,96967
2025-09-16,Donasi ke gereja,Gift & Donation,expense,867150
2025-09-11,Belanja baju di Zara,Shopping,expense,2530941
2024-12-25,Langganan internet Biznet,Bills & Utilities,expense,323441
2025-02-20,Pendapatan dari freelance,Salary,income,16901928
2025-02-24,Pemasukan dari usaha laundry,Business,income,1405284
2025-10-18,Langganan Disney+,Entertainment,expense,830549
2025-03-30,Beli game di Steam,Entertainment,expense,766970
2025-01-24,Makan malam di Solaria,Food & Dining,expense,273709
2025-06-29,Tes darah di klinik,Health & Medical,expense,1451888
2025-04-17,Bayar tol Cikampek,Transportation,expense,33740
2025-08-07,Tes darah di klinik,Health & Medical,expense,264880
2025-05-31,Langganan Skillshare,Education,expense,4817842
2025-01-28,Beli mainan anak di Gramedia,Shopping,expense,166877
2025-02-12,Sarapan di Warung Nasi Uduk,Food & Dining,expense,109763
2024-12-20,Langganan Disney+,Entertainment,expense,196873
2025-07-31,Beli bunga untuk ibu,Gift & Donation,expense,787239
2025-10-07,Langganan Disney+,Entertainment,expense,781935
2025-02-10,Bayar iuran RT,Bills & Utilities,expense,449483
2025-05-15,Top up pulsa XL,Bills & Utilities,expense,1745156
2025-04-18,Langganan Disney+,Entertainment,expense,436308
2025-04-14,Bonus proyek akhir tahun,Salary,income,11146550
2025-07-14,Komisi reseller,Business,income,7078723
2025-05-22,Sumbangan ke yayasan yatim,Gift & Donation,expense,466736
2025-06-19,Refund tiket pesawat,Other Income,income,317715
2025-06-18,Gaji bulanan dari perusahaan,Salary,income,12150856
2025-04-09,Bayar SPP anak,Education,expense,4540135
2025-08-11,Pembayaran dari klien,Business,income,7771280
2025-09-17,Komisi reseller,Business,income,6354346
2025-05-03,Sarapan di Warung Nasi Uduk,Food & Dining,expense,164883
2025-01-31,Beli mainan anak di Gramedia,Shopping,expense,3687937
2024-11-27,Beli obat flu di apotek,Health & Medical,expense,816902
2025-03-10,Tunjangan makan bulanan,Salary,income,10391156
2025-10-01,Beli tiket bioskop XXI,Entertainment,expense,800658
2025-09-24,Bayar kursus Python online,Education,expense,831218
2025-08-06,Bayar tol Cikampek,Transportation,expense,77642
2024-10-29,Tes darah di klinik,Health & Medical,expense,299330
2025-02-18,Biaya admin bank,Other Expense,expense,45027
2025-07-14,Pendapatan tambahan kecil,Other Income,income,77773
2025-07-17,Bayar SPP anak,Education,expense,3194763
2025-04-19,Penjualan barang bekas,Other Income,income,189200
2025-10-10,Komisi tambahan,Salary,income,14504533
2025-06-22,Cashback ShopeePay,Other Income,income,69970
2024-12-22,Bayar air PAM,Bills & Utilities,expense,929821
2025-10-04,Bayar tol Cikampek,Transportation,expense,98626
2025-02-25,Beli game di Steam,Entertainment,expense,901607
2025-07-15,Bayar tol Cikampek,Transportation,expense,118173
2025-09-07,Top up pulsa XL,Bills & Utilities,expense,1250521
2025-08-16,Beli bunga untuk ibu,Gift & Donation,expense,139617
2025-08-09,Beli tiket bioskop XXI,Entertainment,expense,62843
2024-11-13,Naik Transjakarta,Transportation,expense,36340
2025-09-17,Bayar kursus Python online,Education,expense,2648517
2025-05-17,Denda keterlambatan kartu kredit,Other Expense,expense,449514
2025-01-16,Langganan internet Biznet,Bills & Utilities,expense,898991
2025-06-20,Beli game di Steam,Entertainment,expense,743970
2024-11-28,Pendapatan dari freelance,Salary,income,9016690
2025-06-08,Tunjangan makan bulanan,Salary,income,13528427
2024-12-07,Beli obat flu di apotek,Health & Medical,expense,688571
2025-07-24,Pemasukan dari usaha laundry,Business,income,4002682
2025-04-25,Cek kesehatan rutin,Health & Medical,expense,1362031
2025-03-02,Penjualan barang bekas,Other Income,income,487179
2025-10-06,Beli tiket bioskop XXI,Entertainment,expense,514983
2025-09-18,Parkir di kantor,Transportation,expense,84659
2024-11-01,Pendapatan toko online,Business,income,9323539
2024-11-04,Bayar tol Cikampek,Transportation,expense,56871
2025-10-02,Biaya transfer antar bank,Other Expense,expense,43977
2025-01-17,Langganan Disney+,Entertainment,expense,566940
2025-07-31,Beli laptop di Tokopedia,Shopping,expense,3646033
2024-11-18,Beli laptop di Tokopedia,Shopping,expense,1011149
2025-06-17,Cashback ShopeePay,Other Income,income,188882
2025-03-22,Denda keterlambatan kartu kredit,Other Expense,expense,384629
2025-04-21,Sarapan di Warung Nasi Uduk,Food & Dining,expense,134236
2024-12-25,Naik Transjakarta,Transportation,expense,10323
2025-01-02,Beli mainan anak di Gramedia,Shopping,expense,509258
2025-09-25,Penjualan produk handmade,Business,income,4528131
2025-01-10,Pemasukan dari usaha laundry,Business,income,4049337
2025-02-05,Biaya transfer antar bank,Other Expense,expense,278626
2025-03-17,Beli game di Steam,Entertainment,expense,107791
2025-09-06,Hadiah ulang tahun untuk teman,Gift & Donation,expense,621672
2024-11-09,Beli kopi di Janji Jiwa,Food & Dining,expense,20892
2025-07-31,Naik taksi Blue Bird,Transportation,expense,74983
2024-10-29,Langganan Skillshare,Education,expense,673234
2025-02-21,Hadiah ulang tahun untuk teman,Gift & Donation,expense,343709
2025-04-13,Pendapatan tambahan kecil,Other Income,income,214219
2025-01-02,Beli laptop di Tokopedia,Shopping,expense,1551206
2024-11-07,Langganan Skillshare,Education,expense,1311728
2025-01-16,Denda keterlambatan kartu kredit,Other Expense,expense,482055
2025-01-07,Ngopi bareng teman di KFC,Food & Dining,expense,156119
2025-05-29,Naik taksi Blue Bird,Transportation,expense,48013
2025-02-07,Sarapan di Warung Nasi Uduk,Food & Dining,expense,167283
2025-04-22,Bonus proyek akhir tahun,Salary,income,12074686
2025-08-08,Pesan makanan lewat GrabFood,Food & Dining,expense,280007
2025-02-18,Beli vitamin C di Guardian,Health & Medical,expense,1097014
2025-05-07,Penjualan produk handmade,Business,income,2118782
2024-12-08,Beli bunga untuk ibu,Gift & Donation,expense,625026
2025-08-07,Beli mainan anak di Gramedia,Shopping,expense,940798
2025-01-30,Beli bunga untuk ibu,Gift & Donation,expense,135263
2024-10-27,Bayar iuran RT,Bills & Utilities,expense,966310
2025-08-25,Pendapatan tambahan kecil,Other Income,income,321081
2025-07-01,Penarikan tunai ATM,Other Expense,expense,49980
2025-01-24,Makan malam di Solaria,Food & Dining,expense,129586
2025-06-16,Beli vitamin C di Guardian,Health & Medical,expense,1443456
2025-03-06,Beli obat flu di apotek,Health & Medical,expense,303216
2024-11-02,Makan malam di Solaria,Food & Dining,expense,30535
2025-07-16,Naik taksi Blue Bird,Transportation,expense,151938
2025-09-13,Cek kesehatan rutin,Health & Medical,expense,1237138
2025-02-15,Langganan Skillshare,Education,expense,2346883
2024-10-25,Les privat matematika,Education,expense,2953452
2025-09-15,Naik taksi Blue Bird,Transportation,expense,232149
2024-12-01,Gaji bulanan dari perusahaan,Salary,income,11728204
2025-01-21,Pendapatan toko online,Business,income,9903384
2025-07-11,Tunjangan makan bulanan,Salary,income,18265077
2025-02-17,Langganan Skillshare,Education,expense,451069
2025-08-21,Cashback ShopeePay,Other Income,income,75504
2025-02-25,Makan malam di Solaria,Food & Dining,expense,150804
2025-01-26,Pendapatan tambahan kecil,Other Income,income,228905
2025-03-14,Nonton konser K-pop,Entertainment,expense,147185
2025-02-24,Tunjangan makan bulanan,Salary,income,8514359
2025-10-16,Top up pulsa XL,Bills & Utilities,expense,492088
2025-09-17,Les privat matematika,Education,expense,2710924
2024-12-18,Penjualan barang bekas,Other Income,income,259273
2025-05-21,Donasi ke gereja,Gift & Donation,expense,204628
2025-07-17,Komisi tambahan,Salary,income,12366818
2025-07-18,Isi bensin Pertalite,Transportation,expense,192090
2025-03-18,Sumbangan ke yayasan yatim,Gift & Donation,expense,543656
2025-02-05,Pendapatan toko online,Business,income,5057559
2025-01-09,Refund tiket pesawat,Other Income,income,52846
2024-11-14,Potongan layanan e-wallet,Other Expense,expense,164443
2025-04-07,Bayar air PAM,Bills & Utilities,expense,584413
2024-12-05,Cek kesehatan rutin,Health & Medical,expense,957626
2024-11-06,Beli buku pelajaran,Education,expense,4303889
2025-06-17,Sumbangan ke yayasan yatim,Gift & Donation,expense,72580
2025-07-14,Beli game di Steam,Entertainment,expense,386308
2025-04-16,Pesan makanan lewat GrabFood,Food & Dining,expense,74684
2025-06-26,Nonton konser K-pop,Entertainment,expense,608007
2024-12-27,Beli tiket bioskop XXI,Entertainment,expense,838912
2024-10-27,Bayar tol Cikampek,Transportation,expense,110783
2024-12-05,Pemasukan dari usaha laundry,Business,income,2435549
2024-12-14,Langganan Skillshare,Education,expense,1716189
2025-04-28,Beli skincare di Watsons,Shopping,expense,3952233
2025-03-13,Beli tiket bioskop XXI,Entertainment,expense,368459
2024-12-19,Zakat bulanan,Gift & Donation,expense,15446
2024-12-25,Ngopi bareng teman di KFC,Food & Dining,expense,50346
2025-10-22,Pendapatan toko online,Business,income,2285821
2025-05-25,Biaya admin bank,Other Expense,expense,119007
2025-05-13,Beli buku pelajaran,Education,expense,1072963
2025-03-30,Langganan Disney+,Entertainment,expense,121811
2025-09-17,Beli obat flu di apotek,Health & Medical,expense,217494
2024-12-31,Les privat matematika,Education,expense,1528221
2025-04-30,Pembayaran dari klien,Business,income,8128865
2025-02-19,Bayar air PAM,Bills & Utilities,expense,225482
2025-07-19,Langganan Netflix Premium,Entertainment,expense,979203
2025-05-11,Pendapatan toko online,Business,income,856088
2024-12-08,Bayar iuran RT,Bills & Utilities,expense,898124
2025-09-18,Isi bensin Pertalite,Transportation,expense,152464
2025-03-21,Isi bensin Pertalite,Transportation,expense,54981
2025-04-24,Ngopi bareng teman di KFC,Food & Dining,expense,230815
2025-02-05,Denda keterlambatan kartu kredit,Other Expense,expense,90067
2024-10-27,Parkir di kantor,Transportation,expense,164799
2025-08-02,Beli buku pelajaran,Education,expense,2165665
2025-06-30,Beli game di Steam,Entertainment,expense,671778
2025-02-26,Beli kopi di Janji Jiwa,Food & Dining,expense,108565
2024-11-14,Pembayaran dari klien,Business,income,8326982
2025-02-28,Komisi tambahan,Salary,income,19422920
2025-06-12,Pendapatan tambahan kecil,Other Income,income,436124
2024-12-10,Naik Transjakarta,Transportation,expense,58473
2025-08-22,Biaya admin bank,Other Expense,expense,489856
2025-08-30,Biaya transfer antar bank,Other Expense,expense,41951
2025-04-17,Pembayaran dari klien,Business,income,1253171
2024-11-16,Isi bensin Pertalite,Transportation,expense,170121
2024-12-09,Gaji bulanan dari perusahaan,Salary,income,15599491
2024-10-23,Tes darah di klinik,Health & Medical,expense,1412541
2025-02-16,Beli sepatu di Shopee,Shopping,expense,3844570
2025-02-11,Sarapan di Warung Nasi Uduk,Food & Dining,expense,272286
2025-05-29,Komisi reseller,Business,income,8018923
2025-06-22,Beli sepatu di Shopee,Shopping,expense,2195679
2025-08-05,Beli sepatu di Shopee,Shopping,expense,3853380
2025-05-01,Beli game di Steam,Entertainment,expense,342543
2025-08-13,Cek kesehatan rutin,Health & Medical,expense,1136922
2025-08-08,Komisi reseller,Business,income,7698097
2025-04-21,Les privat matematika,Education,expense,1419566
2025-09-23,Bunga deposito bank,Other Income,income,294329
2025-03-14,Beli mainan anak di Gramedia,Shopping,expense,2837157
2025-01-28,Isi bensin Pertalite,Transportation,expense,53098
